Date,Price,Open,High,Low
2018-03-07,125.720.001,126.220.001,126.290.001,125.419.998
2018-03-06,126.529.999,126.199.997,126.959.999,126.129.997
2018-03-05,125.18,125.349.998,125.480.003,124.959.999
2018-03-02,125.389.999,125.669.998,125.690.002,124.970.001
2018-03-01,124.720.001,124.150.002,125.309.998,123.580.002
2018-02-28,125.0,125.089.996,125.459.999,124.809.998
2018-02-27,125.129.997,126.059.998,126.150.002,124.589.996
2018-02-26,126.449.997,126.449.997,126.620.003,126.18
2018-02-23,126.139.999,126.059.998,126.300.003,125.849.998
2018-02-22,126.300.003,125.919.998,126.370.003,125.879.997
2018-02-21,125.660.004,126.360.001,126.760.002,125.440.002
2018-02-20,126.239.998,127.279.999,127.400.002,126.040.001
2018-02-16,127.959.999,128.300.003,128.699.997,127.57
2018-02-15,128.380.005,128.429.993,128.570.007,127.940.002
2018-02-14,128.229.996,126.470.001,128.589.996,126.290.001
2018-02-13,126.080.002,125.669.998,126.18,125.519.997
2018-02-12,125.370.003,125.190.002,125.82,125.110.001
2018-02-09,124.769.997,124.650.002,125.139.999,124.389.999
2018-02-08,124.980.003,124.919.998,125.440.002,124.510.002
2018-02-07,124.790.001,125.480.003,125.769.997,124.410.004
2018-02-06,125.379.997,126.540.001,126.550.003,125.220.001
2018-02-05,126.709.999,126.82,127.309.998,126.440.002
2018-02-02,126.389.999,126.809.998,126.849.998,125.959.999
2018-02-01,128.070.007,127.18,128.149.994,127.080.002
2018-01-31,127.650.002,127.449.997,127.849.998,126.400.002
2018-01-30,126.800.003,127.910.004,127.919.998,126.739.998
2018-01-29,127.349.998,127.580.002,127.629.997,126.919.998
2018-01-25,127.970.001,128.690.002,129.509.995,127.360.001
2018-01-24,128.830.002,128.389.999,129.259.995,128.229.996
2018-01-23,127.279.999,126.529.999,127.349.998,126.339.996
2018-01-22,126.650.002,126.510.002,126.75,126.279.999
2018-01-19,126.419.998,126.57,126.730.003,126.410.004
2018-01-18,125.860.001,126.129.997,126.519.997,125.800.003
2018-01-17,126.139.999,126.769.997,127.220.001,125.900.002
2018-01-16,127.169.998,126.599.998,127.18,126.400.002
2018-01-12,126.959.999,126.010.002,127.129.997,125.809.998
2018-01-11,125.440.002,125.370.003,125.660.004,125.25
2018-01-10,125.029.999,125.169.998,125.309.998,124.720.001
2018-01-09,124.730.003,124.489.998,124.860.001,124.230.003
2018-01-08,125.309.998,125.199.997,125.32,124.900.002
2018-01-05,125.330.002,124.93,125.480.003,124.830.002
2018-01-04,125.459.999,124.889.999,125.849.998,124.739.998
2018-01-03,124.82,125.050.003,125.089.996,124.099.998
2018-01-02,125.150.002,124.660.004,125.18,124.389.999
2017-12-29,123.650.002,123.699.997,124.089.996,123.459.999
2017-12-28,122.849.998,122.82,122.919.998,122.559.998
2017-12-27,122.230.003,122.0,122.339.996,121.879.997
2017-12-26,121.769.997,121.550.003,121.870.003,121.510.002
2017-12-22,120.940.002,120.669.998,121.139.999,120.57
2017-12-21,120.309.998,120.07,120.449.997,120.0
2017-12-20,120.139.999,119.980.003,120.360.001,119.809.998
2017-12-19,119.82,119.669.998,119.900.002,119.529.999
2017-12-18,119.730.003,119.629.997,119.989.998,119.599.998
2017-12-15,119.18,119.410.004,119.5,118.970.001
2017-12-14,118.93,119.099.998,119.290.001,118.709.999
2017-12-13,119.169.998,118.190.002,119.349.998,118.010.002
2017-12-12,118.150.002,117.650.002,118.169.998,117.400.002
2017-12-11,118.010.002,118.370.003,118.540.001,117.800.003
2017-12-08,118.480.003,118.489.998,118.919.998,118.330.002
2017-12-07,118.489.998,119.010.002,119.239.998,118.099.998
2017-12-06,120.07,120.040.001,120.440.002,119.870.003
2017-12-05,120.32,120.099.998,120.510.002,119.720.001
